NOM PROC : 0,49, %CPU : average:, %MEM : 0,67,
NOM PROC : 0, %CPU : veille,, %MEM : 0
NOM PROC : hi,, %CPU : 0,0, %MEM : wa,
NOM PROC : , %CPU : util,, %MEM : 674,5
NOM PROC : Mem, %CPU : util., %MEM : 510,2
NOM PROC : , %CPU : , %MEM : 
NOM PROC : COM., %CPU : %CPU, %MEM : %MEM
NOM PROC : gsd-rfk+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-scr+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-sha+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gsd-sma+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gsd-sou+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 2,8
NOM PROC : gsd-usb+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-wac+, %CPU : 0,0, %MEM : 0,9
NOM PROC : evoluti+, %CPU : 0,0, %MEM : 1,9
NOM PROC : gsd-dis+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gjs, %CPU : 0,0, %MEM : 0,9
NOM PROC : ibus-dc+, %CPU : 0,0, %MEM : 0,3
NOM PROC : ibus-ex+, %CPU : 0,0, %MEM : 1,0
NOM PROC : ibus-po+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-pri+, %CPU : 0,0, %MEM : 0,6
NOM PROC : xdg-des+, %CPU : 0,0, %MEM : 0,6
NOM PROC : xdg-doc+, %CPU : 0,0, %MEM : 0,3
NOM PROC : fusermo+, %CPU : 0,0, %MEM : 0,0
NOM PROC : xdg-des+, %CPU : 0,0, %MEM : 0,9
NOM PROC : ibus-en+, %CPU : 0,0, %MEM : 0,4
NOM PROC : tracker+, %CPU : 0,0, %MEM : 0,7
NOM PROC : xdg-des+, %CPU : 0,0, %MEM : 0,8
NOM PROC : gnome-c+, %CPU : 0,0, %MEM : 1,5
NOM PROC : gnome-t+, %CPU : 0,0, %MEM : 1,7
NOM PROC : gvfsd-t+, %CPU : 0,0, %MEM : 0,4
NOM PROC : dconf-s+, %CPU : 0,0, %MEM : 0,2
NOM PROC : bash, %CPU : 0,0, %MEM : 0,1
NOM PROC : su, %CPU : 0,0, %MEM : 0,1
NOM PROC : bash, %CPU : 0,0, %MEM : 0,1
NOM PROC : bash, %CPU : 0,0, %MEM : 0,2
NOM PROC : gvfsd-m+, %CPU : 0,0, %MEM : 0,3
NOM PROC : firefox+, %CPU : 0,0, %MEM : 18,2
NOM PROC : Xwayland, %CPU : 0,0, %MEM : 2,6
NOM PROC : gsd-xse+, %CPU : 0,0, %MEM : 2,7
NOM PROC : ibus-x11, %CPU : 0,0, %MEM : 0,8
NOM PROC : Socket, %CPU : 0,0, %MEM : 1,1
NOM PROC : Privile+, %CPU : 0,0, %MEM : 4,5
NOM PROC : WebExte+, %CPU : 0,0, %MEM : 3,2
NOM PROC : Isolate+, %CPU : 0,0, %MEM : 11,6
NOM PROC : Isolate+, %CPU : 0,0, %MEM : 6,1
NOM PROC : Web, %CPU : 0,0, %MEM : 2,4
NOM PROC : RDD, %CPU : 0,0, %MEM : 1,4
NOM PROC : Utility+, %CPU : 0,0, %MEM : 1,4
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : cupsd, %CPU : 0,0, %MEM : 0,3
NOM PROC : cups-br+, %CPU : 0,0, %MEM : 0,4
NOM PROC : Web, %CPU : 0,0, %MEM : 2,5
NOM PROC : rtkit-d+, %CPU : 0,0, %MEM : 0,1
NOM PROC : nautilus, %CPU : 0,0, %MEM : 9,7
NOM PROC : gvfsd-r+, %CPU : 0,0, %MEM : 0,3
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : bluetoo+, %CPU : 0,0, %MEM : 0,2
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : Web, %CPU : 0,0, %MEM : 2,4
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : kworker+, %CPU : 0,0, %MEM : 0,0
NOM PROC : cron, %CPU : 0,0, %MEM : 0,1
NOM PROC : sh, %CPU : 0,0, %MEM : 0,0
NOM PROC : bash, %CPU : 0,0, %MEM : 0,1
NOM PROC : top, %CPU : 0,0, %MEM : 0,2
NOM PROC : awk, %CPU : 0,0, %MEM : 0,1
